ParticipantID,Visuomotor_type,Item,Response
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"At some point it felt that the virtual body resembled my own (real) body in terms of shape skin tone or other visual features.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I felt as if the virtual body was my body.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I felt as if my body had changed.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"At some point it felt as if my real body was starting to take on the posture or shape of the virtual body that I saw.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I felt like I could control the virtual body as if it was my own body.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"It felt as if my (real) body were turning into an avatar body.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I felt that my own body could be affected by floor.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"It seemed as if the touch I felt was caused by the floor touching the virtual body.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I felt as if my (real) body were drifting toward the virtual body or as if the virtual body were drifting toward my (real) body.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"It seemed as if my body was touching the floor.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I felt out of my body.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"It seemed as if I felt the touch of the floor in the location where I saw the virtual feet touched.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I felt a touch sensation in my body when I saw floor.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I felt as if my body was located where I saw the virtual body.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I felt like I was wearing different clothes from when I came to the laboratory.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I felt as if the movements of the virtual body were influencing my own movements.","Response":"4"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"Please rate how much difficulty of focusing affected you during the experience.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"Please rate how much blurred vision affected you during the experience.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"Please rate how much fullness of head affected you during the experience.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"Please rate how much vertigo affected you during the experience.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"Please rate how much fatigue affected you during the experience.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"Please rate how much eyestrain affected you during the experience.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"Please rate how much dizziness affected you during the experience.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"Please rate how much headache affected you during the experience.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"Please rate how much general discomfort affected you during the experience.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I found the various functions in this system were well integrated.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I needed to learn a lot of things before I could get going with this system.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I found the system unnecessarily complex.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I would imagine that most people would learn to use this system very quickly.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I thought there was too much inconsistency in this system.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I think that I would need the support of a technical person to be able to use this system.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I found the system very cumbersome to use.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I felt very confident using the system.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I think that I would like to use this system frequently.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"I thought the system was easy to use.","Response":"3"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"Please, select your sex","Response":"2"}
{"ParticipantID":"3","Visuomotor_type":"Prerec","Item":"Please, select your age group","Response":"4"}
